word;occu;freq-per-mill;rank;racio
achar;30;1337.08;2396;0.02
pai;21;1782.28;552;0.01
coisa;17;3680.53;267;0.00
Luís;16;513.95;1943;0.03
algum;12;2455.87;379;0.00
mãe;11;2054.65;484;0.01
ter;10;3116.80;80;0.00
eu;10;2613.01;63;0.00
diferente;9;2806.95;606;0.00
vida;9;10787.49;90;0.00
de;9;1932.69;2;0.00
característica;8;579.07;3023;0.01
herdar;8;13.01;37740;0.61
ser;8;3412.68;36;0.00
filho;8;1727.45;500;0.00
conseguir;8;538.47;850;0.01
sente;7;21.79;2590;0.32
filha;7;283.93;1062;0.02
ano;6;14235.31;93;0.00
haver;6;6226.01;1765;0.00
pessoa;6;9965.81;244;0.00
aprender;6;594.89;1178;0.01
Pedro;6;1181.06;844;0.01
fotografia;6;384.22;2600;0.02
Edite;5;18.20;57337;0.27
avó;5;136.27;5874;0.04
maneira;5;2704.90;367;0.00
prazer;5;643.21;1552;0.01
pergunta;4;527.39;1671;0.01
transmitir;4;81.06;5056;0.05
fazer;4;1319.98;82;0.00
ensinar;4;177.33;3541;0.02
educação;4;1378.11;542;0.00
formação;4;1767.72;563;0.00
tentar;4;59.58;969;0.07
problema;4;2728.98;360;0.00
profissão;4;293.28;2777;0.01
competência;4;343.09;2912;0.01
cozinhar;4;128.95;5955;0.03
ti;3;290.39;3441;0.01
herdaste;3;1.00;OFV;3.00
Pronto;3;497.34;8489;0.01
completamente;3;760.05;1313;0.00
gostar;3;203.58;3470;0.01
família;3;3763.64;263;0.00
ir;3;855.90;439;0.00
neto;3;92.08;10473;0.03
importante;3;4103.41;241;0.00
pensar;3;884.76;832;0.00
liberdade;3;627.87;1102;0.00
exatamente;3;734.92;1358;0.00
dar;3;173.68;255;0.02
acreditar;3;83.94;2705;0.04
irmão;3;559.78;1554;0.01
mesa;3;750.92;1329;0.00
sentir;3;143.76;1161;0.02
saber;3;247.99;283;0.01
bom;3;3963.67;216;0.00
prático;3;1287.58;4346;0.00
arte;3;1206.71;826;0.00
mão;3;1195.17;679;0.00
postura;3;278.26;3591;0.01
fixe;3;34.24;29201;0.09
amor;3;2780.09;357;0.00
pôr;2;203.93;4901;0.01
lembrar;2;418.10;1679;0.00
querer;2;767.07;1953;0.00
admira;2;2.82;21758;0.71
orgulhas;2;1.00;OFV;2.00
falar;2;1236.52;409;0.00
quiseres;2;40.71;24559;0.05
começar;2;606.44;861;0.00
admirar;2;56.01;13583;0.04
puder;2;133.57;5346;0.01
sobretudo;2;558.44;1788;0.00
apreciei;2;13.17;75932;0.15
intelectual;2;246.75;4050;0.01
independente;2;354.24;1946;0.01
ultrapassar;2;73.42;7489;0.03
almoço;2;38.39;2827;0.05
casa;2;6910.85;142;0.00
dizer;2;263.11;318;0.01
faceta;2;46.01;27314;0.04
época;2;2111.04;471;0.00
mulher;2;2811.36;372;0.00
mundo;2;8149.96;120;0.00
acontecer;2;646.36;1427;0.00
honra;2;283.15;3529;0.01
sintar;2;377.40;OFV;0.01
mesmo;2;2027.01;66;0.00
fácil;2;1977.46;503;0.00
ver;2;555.91;197;0.00
altura;2;547.06;989;0.00
aceitar;2;207.02;2763;0.01
claro;2;1667.50;597;0.00
Nato;2;32.26;101004;0.06
suficiente;2;740.91;1347;0.00
trabalhar;2;841.92;698;0.00
especial;2;2279.46;436;0.00
castigar;2;14.45;44580;0.14
devar;2;222.09;OFV;0.01
pronto;2;497.34;2008;0.00
reager;2;11.57;OFV;0.17
Protestava;2;10.68;OFV;0.19
rígido;2;94.89;10536;0.02
diretor;2;913.49;1092;0.00
menina;2;419.69;2207;0.00
facto;2;509.76;1959;0.00
social;2;3137.75;316;0.00
capaz;2;940.11;1061;0.00
gente;2;3208.21;309;0.00
exercer;2;152.78;4325;0.01
caráter;2;516.34;1934;0.00
parar;2;555.03;1799;0.00
faz-me;2;28.66;34891;0.07
podes;2;134.90;7410;0.01
muito;2;4037.14;50;0.00
usar;2;2075.98;388;0.00
meter;2;87.72;8492;0.02
perceber;2;552.58;1807;0.00
manutenção;2;942.77;1058;0.00
simbolizar;2;34.28;38821;0.06
passar;2;1745.00;531;0.00
livre;2;1295.84;769;0.00
filtro;2;142.82;5881;0.01
tendência;2;431.31;1884;0.00
feliz;2;1047.45;952;0.00
construção;2;1852.88;537;0.00
miúdo;2;49.34;27277;0.04
realmente;2;1942.88;512;0.00
perante;2;371.51;2689;0.01
amigo;2;2067.40;893;0.00
Sara;2;98.20;10181;0.02
ato;2;815.20;1224;0.00
carinho;2;418.81;2385;0.00
imenso;2;198.07;5046;0.01
comida;2;572.84;1743;0.00
diz-me;1;20.93;47777;0.05
tiver;1;28.88;1479;0.03
vontade;1;1482.14;672;0.00
transmitiste;1;1.00;OFV;1.00
eles;1;525.02;152;0.00
ensinaste;1;5.41;184849;0.18
sinceridade;1;69.81;14321;0.01
independência;1;244.16;4093;0.00
apesar;1;1266.30;787;0.00
vicissitude;1;25.48;194245;0.04
ficar;1;2365.74;325;0.00
viúva;1;88.84;11253;0.01
emancipação;1;76.45;13078;0.01
cuidar;1;383.33;2606;0.00
educá;1;9.09;OFV;0.11
pô-los;1;8.03;124486;0.12
vivência;1;121.10;8255;0.01
normal;1;860.81;1159;0.00
subir;1;263.18;3797;0.00
digna;1;102.25;9777;0.01
manter;1;1575.55;632;0.00
aglomerar;1;4.39;143266;0.23
juntar;1;15.45;4861;0.06
conversar;1;16.42;3398;0.06
situação;1;854.19;413;0.00
marcar;1;316.99;3648;0.00
continuar;1;105.53;1182;0.01
paterno;1;41.14;32695;0.02
materno;1;72.63;10317;0.01
malha;1;135.12;7398;0.01
soubesse;1;68.94;14503;0.01
atitude;1;290.98;2305;0.00
incluir;1;274.37;3642;0.00
natural;1;1495.44;666;0.00
pessoal;1;624.73;607;0.00
amiga;1;240.75;1853;0.00
singrassem;1;1.00;OFV;1.00
fizessem;1;51.08;19574;0.02
orgulho-me;1;5.22;191637;0.19
crescer;1;38.37;2474;0.03
escrava;1;22.43;20988;0.04
achas;1;29.07;OFV;0.03
descendente;1;119.21;12290;0.01
condicionalismo;1;10.80;226653;0.09
igual;1;705.37;1415;0.00
dificuldade;1;700.92;1647;0.00
Sentes;1;21.79;212329;0.05
formar;1;77.83;2913;0.01
Querias;1;13.68;261849;0.07
dissesse;1;4.00;21727;0.25
gosta;1;29.19;1418;0.03
propriamente;1;146.42;6827;0.01
voluntariamente;1;61.86;16164;0.02
generosidade;1;67.26;14866;0.01
Choro;1;103.87;38614;0.01
bocadinho;1;72.07;13872;0.01
difícil;1;1445.71;689;0.00
interromper;1;61.20;12818;0.02
lidar;1;390.82;2556;0.00
emoção;1;294.23;3986;0.00
decisão;1;1670.29;596;0.00
futuro;1;1361.10;732;0.00
beneficiar;1;63.26;6784;0.02
anomalia;1;36.93;27078;0.03
perna;1;167.62;5963;0.01
imprimir;1;18.38;7098;0.05
ouvir;1;28.91;1356;0.03
privilegiar;1;92.53;30929;0.01
agradecido;1;33.94;29461;0.03
pude;1;177.98;5616;0.01
exprimir;1;1.00;26239;1.00
Leta;1;4.34;230256;0.23
exprimiste;1;1.00;OFV;1.00
personalidade;1;402.46;2482;0.00
Puxava;1;18.87;391008;0.05
facilitava-me;1;1.00;OFV;1.00
precisar;1;32.52;2315;0.03
arranjar;1;10.00;11968;0.10
precisei;1;60.77;16453;0.02
Precisei;1;60.77;63622;0.02
Patrícia;1;131.74;7588;0.01
Canadá;1;277.42;3602;0.00
Pedi-lhe;1;8.10;181018;0.12
ajuda;1;1842.64;540;0.00
deu-me;1;27.95;35777;0.04
Deu-me;1;27.95;103725;0.04
possibilidade;1;425.59;797;0.00
mocidade;1;26.35;37952;0.04
protegido;1;100.90;7220;0.01
proteger;1;19.69;2465;0.05
Chico;1;209.31;4775;0.00
badana;1;2.65;331600;0.38
ligar;1;42.95;3657;0.02
puto;1;36.43;27446;0.03
reagia;1;11.57;86395;0.09
perguntar;1;220.23;4538;0.00
Olha;1;278.19;5279;0.00
hás-de;1;6.78;147497;0.15
Hás-de;1;6.78;371972;0.15
Explorava;1;14.57;OFV;0.07
bocado;1;83.74;11939;0.01
suficientemente;1;102.29;9773;0.01
castigo;1;87.61;11411;0.01
achas;1;29.07;34394;0.03
preciso;1;1954.27;509;0.00
exterior;1;549.84;1816;0.00
urgência;1;189.66;5270;0.01
Veemente;1;23.30;OFV;0.04
correr;1;116.85;2490;0.01
Correu;1;116.85;52924;0.01
visto;1;182.49;957;0.01
colega;1;397.66;4263;0.00
hoje;1;6035.00;163;0.00
herança;1;165.35;6045;0.01
Vê;1;645.70;25567;0.00
hora;1;3359.09;346;0.00
Lembro-me;1;59.96;16674;0.02
íamos;1;46.43;21537;0.02
viagem;1;1389.47;717;0.00
Pirinéus;1;8.04;124419;0.12
Íamos;1;46.43;89776;0.02
França;1;783.27;1274;0.00
dou;1;150.95;6622;0.01
fé;1;832.85;1198;0.00
jantar;1;488.83;2043;0.00
quiser;1;61.32;1361;0.02
entender;1;2.22;950;0.45
criar;1;687.43;513;0.00
empregado;1;246.51;4054;0.00
En;1;226.93;24806;0.00
français;1;8.67;115272;0.12
Ficaste;1;9.25;244265;0.11
contente;1;104.85;9535;0.01
Fiquei;1;661.51;4048;0.00
comovido;1;17.11;58455;0.06
comovente;1;40.23;24855;0.02
absolutamente;1;259.42;3852;0.00
