lema;frequencia
absolutamente;1
aceitar;2
achar;32
acontecer;2
acreditar;3
adaptar;1
admirar;2
admirar;2
aglomerar;1
agradecido;1
ajuda;1
algum;12
almoço;2
altura;2
amigo;3
amor;3
ano;6
anomalia;1
apesar;1
apreciar;2
aprender;7
aprendizagem;1
areia;1
arranjar;1
arte;3
assimilar;1
associado;1
atitude;1
ato;2
autocrítico;1
automóvel;1
avó;5
badana;1
barco;1
basta;1
beneficiar;1
bocado;2
bom;3
bonito;1
Canadá;1
capaz;2
característica;8
caráter;2
carinho;2
carpintaria;1
casa;2
castigar;2
castigo;1
centralidade;1
Chico;1
choro;1
claro;2
classe;1
coisa;17
colega;1
começar;2
comida;2
comigo;1
comovente;1
comovido;1
competência;4
completamente;3
complicado;1
computador;1
comum;1
concretamente;1
condicionalismo;1
conhecer;1
conseguir;8
construção;2
contente;1
continuar;1
conversar;1
correr;2
costumar;1
cozinhar;5
crescer;1
criar;1
cuidar;1
curiosidade;1
dar;6
data;1
de elas;1
de ele;6
decisão;1
descendente;1
determinar;1
dever;3
diariamente;1
diferente;9
difícil;1
dificuldade;1
digna;1
diretor;2
dizer;4
domingo;1
Edite;5
educação;4
educar;2
ego;1
eles;1
emancipação;1
emoção;1
empregado;1
encher;1
enfrentar;1
ensinar;5
ensinar;1
entender;1
entrevista;5
envaidecer;1
época;2
escolha;1
escrava;1
especial;2
específico;1
espelhar;1
espírito;1
estar;1
estrangeiro;1
eu;10
evento;1
evidenciar;1
evidente;1
exagero;1
exatamente;3
exercer;2
explorador;1
explorava;1
exprimir;2
exterior;1
faceta;2
fácil;2
facilidade;1
facilitar;1
facto;2
falar;3
família;3
fantástico;1
fazer;8
fé;1
feedback;1
feliz;2
festivo;1
ficar;3
figura;1
filha;7
filho;8
filtrar;1
filtro;2
fixe;3
formação;4
formar;1
fotografia;6
França;1
frontal;1
fruto;1
futuro;1
gabar;2
generosidade;1
generoso;1
gente;2
gesto;1
giro;1
gostar;4
gosto;1
hás-de;2
haver;6
herança;1
herdar;11
herói;1
hoje;1
honesto;1
honra;2
hora;1
Hugo;1
idealizar;1
igual;1
imenso;2
importante;3
impressão;1
imprimir;1
incluir;1
independência;1
independente;2
informação;1
inicialmente;1
intelectual;2
interromper;1
ir;6
irmão;3
jantar;1
juntar;1
lembrar;3
Leta;1
levar;1
liberdade;3
lidar;1
ligar;1
linguístico;1
livre;2
longo;1
Luís;16
mãe;11
malha;1
mandar;1
maneira;5
manter;1
manutenção;2
mão;3
máquina;1
marcar;1
Maria;1
marido;1
material;1
materno;1
medo;1
menina;2
mesa;3
mesmo;2
meta;1
meter;2
mexer;1
miúdo;2
mocidade;1
moda;1
móvel;1
muito;2
mulher;2
mundial;1
mundo;2
Nato;2
natural;1
neto;3
normal;1
objeto;1
obrigação;1
olhar;1
ordem;1
orgulhar;2
orgulhar;1
outro;1
ouvir;1
pai;21
parar;2
partilhar;1
passar;2
paterno;1
Patrícia;1
pedir;1
Pedro;6
pensar;3
perante;2
perceber;2
pergunta;4
perguntar;1
perna;1
personalidade;1
pessoa;6
pessoal;1
Pirinéus;1
poder;4
pôr;2
pôr;1
positivo;1
possibilidade;1
postura;3
praia;1
praticidade;1
prático;3
prazer;5
prazeroso;1
precisar;3
preciso;1
primeiramente;1
privilegiar;1
problema;4
profissão;4
pronto;5
propriamente;1
próprio;1
proteger;1
protegido;1
protestar;2
pude;1
puto;1
puxar;1
quase;1
querer;5
questionar;1
quiser;1
reagir;3
realização;1
realizar;1
realmente;2
recurso;1
refeição;1
rígido;2
rodear;1
saber;4
Sara;2
seguir;1
seguro;1
sentir;14
ser;8
si;1
significar;1
simbolizar;2
sinceridade;1
singrar;1
situação;1
sobretudo;2
social;2
solucionar;1
subir;1
suficiente;2
suficientemente;1
super-herói;1
tear;1
tendência;2
tentar;4
ter;11
ti;3
trabalhar;2
transmitir;5
ultrapassar;2
urgência;1
usar;2
várias;1
veemente;1
ver;5
viagem;1
vicissitude;1
vida;9
vista;1
viúva;1
vivência;1
viver;1
voluntariamente;1
vontade;1
