lema;frequencia
Luís;16
achar;12
pai;6
ter;6
eu;5
herdar;4
filho;4
entrevista;3
entrevistadora;3
transmitir;3
algum;3
acreditar;3
irmão;3
mesa;3
sentir;3
competência;3
aprender;3
precisar;3
característica;2
sente;2
herdaste;2
maneira;2
claro;2
Nato;2
suficiente;2
castigar;2
dever;2
pronto;2
reager;2
pergunta;2
Protestava;2
rígido;2
diretor;2
ser;2
haver;2
gostar;2
filha;2
menina;2
bom;2
coisa;2
social;2
gente;2
caráter;2
deu-me;2
hás-de;2
ficar;2
gabar;2
ano;1
dar;1
Querias;1
dissesse;1
mãe;1
admira;1
ensinar;1
gosta;1
propriamente;1
voluntariamente;1
generosidade;1
Choro;1
bocadinho;1
difícil;1
interromper;1
lidar;1
emoção;1
altura;1
decisão;1
futuro;1
beneficiar;1
anomalia;1
perna;1
aceitar;1
imprimir;1
ver;1
ouvir;1
sintar;1
privilegiar;1
agradecido;1
pude;1
exprimir lo;1
Leta;1
exprimiste;1
trabalhar;1
personalidade;1
Puxava;1
facilitava-me;1
arranjar;1
especial;1
Patrícia;1
Canadá;1
Pedi-lhe;1
ajuda;1
mesmo;1
possibilidade;1
mocidade;1
protegido;1
de ele;1
proteger;1
Chico;1
badana;1
ligar;1
puto;1
família;1
reagia;1
perguntar;1
Olha;1
saber;1
Explorava;1
bocado;1
suficientemente;1
castigo;1
achas;1
preciso;1
exterior;1
urgência;1
Veemente;1
correr;1
Correu;1
visto;1
colega;1
hoje;1
herança;1
Vê;1
hora;1
Lembro-me;1
íamos;1
viagem;1
Pirinéus;1
Íamos;1
França;1
dou;1
fé;1
jantar;1
quiser;1
entender se;1
criar;1
empregado;1
contente;1
comovido;1
comovente;1
absolutamente;1
facto;1
costumar;1
facilidade;1
capaz;1
enfrentar;1
linguístico;1
bonito;1
curiosidade;1
querer;1
exercer;1
mexer;1
encher;1
ego;1
comum;1
honesto;1
frontal;1
generoso;1
outro;1
envaidecer;1
eduquei;1
classe;1
mundial;1
Pronto;1
ir;1
parar;1
