Column1;Column2;Column3
Frase;Sentimento;Confiança
"# Entrevista a Luís M., 79 anos

Entrevistadora: Obrigada por me dares esta entrevista.";5 stars;0.3789
Querias que me dissesses uma coisa, uma característica do teu pai ou da tua mãe que tu admiras e que sentes que herdaste e que te foi transmitida de alguma maneira.;5 stars;0.4331
Que tu herdaste ou que eles te ensinaram que te foi transmitida e que tu gostas de ter.;5 stars;0.5551
Luís: Não é propriamente transmitida voluntariamente, mas acho que herdei do meu pai a generosidade.;3 stars;0.4128
"(Choro)

Entrevistadora: Um bocadinho difícil, não é?";1 star;0.4471
"(Neste momento a entrevista foi interrompida para lidar com as emoções)

Luís M.: No momento, nas alturas de decisão sobre o futuro dos filhos, eu fui beneficiado por ter a anomalia na perna e por ele ter acreditado em mim.";3 stars;0.3115
Ele acreditava, acreditava em mim.;5 stars;0.2769
E os meus irmãos aceitaram aquilo que ele imprimiu à mesa com todos a verem e a ouvirem.;5 stars;0.3285
E sinto que fui muito privilegiado por isso.;5 stars;0.4584
E, claro, estou agradecido a todos.;5 stars;0.6656
E não pude exprimi-lo a alguns,... à Leta.;2 stars;0.3821
Ao Nato.;5 stars;0.3076
Entrevistadora: Ao Nato, exprimiste, sentes que não?;1 star;0.5032
Acho que ele sentiu sempre.;5 stars;0.5239
Luís M.: Não foi o suficiente.;2 stars;0.4188
Porque ele trabalhou a minha personalidade.;5 stars;0.4856
Puxava por mim.;1 star;0.388
E facilitava-me.;4 stars;0.4034
Se eu precisasse de qualquer coisa, ele arranjava.;2 stars;0.3405
Tinha que ser, tinha que ser.;1 star;0.4559
Eu nunca precisei de nada de especial.;2 stars;0.44
Precisei quando foi da Patrícia ir para o Canadá.;3 stars;0.2485
Pedi-lhe alguma ajuda.;1 star;0.3268
E ele deu-me.;5 stars;0.4446
Deu-me sempre.;5 stars;0.5695
O meu pai não tinha as mesmas possibilidades, porque também não tinha tido uma mocidade tão protegida como nós, os filhos dele.;2 stars;0.3331
Ele protegia os filhos bastante.;4 stars;0.4802
Mas também não castigava... O meu irmão, o Chico era um badanas.;2 stars;0.4525
Ele não ligava puto a nada, e tal.;1 star;0.7458
Nem à família.;1 star;0.4233
E o meu pai só reagia a perguntar.;3 stars;0.29
Olha lá, hás-de me dizer quanto é que eu te devo.;5 stars;0.5003
Hás-de me dizer quanto é que eu te devo.;5 stars;0.5037
E ele, claro, não sabia dizer.;1 star;0.2642
Explorava o pai sempre que podia.;5 stars;0.437
E os irmãos.;5 stars;0.416
Mas pronto, era isso.;3 stars;0.4546
Ent.;5 stars;0.3333
: E ele não reagia.;1 star;0.6007
"Ele só reagia... 

Luís M.: Fazia essa pergunta.";3 stars;0.3407
Ent.;5 stars;0.3333
: Protestava um pouco.;2 stars;0.4006
Luís M.: Protestava.;1 star;0.4531
E eu herdei um bocado isso.;1 star;0.2935
Também não sou suficientemente... Não sou rígido.;2 stars;0.4716
Não castigo.;1 star;0.5162
