lema;frequencia
achar;11
coisa;10
mãe;9
pai;8
diferente;7
vida;7
conseguir;7
algum;6
Edite;5
característica;5
avó;5
filha;5
sente;4
fazer;4
educação;4
formação;4
tentar;4
profissão;4
ano;3
herdar;3
completamente;3
ser;3
pessoa;3
ter;3
aprender;3
neto;3
maneira;3
exatamente;3
orgulhar;3
pergunta;2
pôr;2
lembrar;2
ti;2
falar;2
querer;2
Pronto;2
admirar;2
ensinar;2
poder;2
sobretudo;2
apreciar;2
intelectual;2
filho;2
independente;2
ultrapassar;2
problema;2
família;2
faceta;2
importante;2
época;2
mulher;2
honra;2
transmitir;2
sentir;2
entrevista;1
Maria;1
dizer;1
haver;1
querer;1
admira;1
herdar;1
tiver;1
vontade;1
eles;1
ensinar;1
começar;1
sinceridade;1
independência;1
gostar;1
apesar;1
vicissitude;1
ficar;1
viúva;1
emancipação;1
cuidar;1
de elas;1
educar;1
por;1
vivência;1
normal;1
subir;1
digna;1
manter;1
aglomerar;1
juntar;1
conversar;1
situação;1
marcar;1
continuar;1
almoço;1
casa;1
paterno;1
materno;1
malha;1
ir;1
dizer;1
soubesse;1
atitude;1
incluir;1
natural;1
pessoal;1
amiga;1
singrar;1
fazer;1
crescer;1
escrava;1
mundo;1
acontecer;1
eu;1
achar;1
pensar;1
mesmo;1
descendente;1
fácil;1
condicionalismo;1
liberdade;1
igual;1
dificuldade;1
ver;1
formar;1
