Column1;Column2;Column3
Frase;Sentimento;Confiança
"Entrevista a Maria Edite, 77 anos


M. Edite: Então diz-me outra vez quais são as perguntas que há para eu pôr aqui que eu já não me lembro.";1 star;0.3128
: As perguntas?;1 star;0.314
Primeira é, eu queria saber uma característica do teu pai e da tua mãe que tu admiras e que sentes que eles transmitiram para ti.;5 stars;0.3585
Portanto, uma característica tua, de que tu te orgulhas e que sentes que herdaste do teu pai e da tua mãe.;5 stars;0.5184
Ou uma de cada, como tu tiveres vontade de falar.;5 stars;0.3668
M. Edite: Tem de ser do pai e da mãe ou pode ser dos avós?;1 star;0.2999
: Pode ser dos avós também.;3 stars;0.3787
Ou outra coisa.;3 stars;0.2914
: E uma característica das tuas filhas, de uma ou das que tu quiseres, que sentes, que te orgulhas também e que sentes que foste tu que transmitiste para elas.;5 stars;0.5205
Que elas herdaram de ti ou que tu lhes ensinaste.;5 stars;0.4706
O que quiseres.;5 stars;0.3221
M. Edite: Então posso começar?;1 star;0.3766
Pronto.;5 stars;0.4538
Eu acho que herdei algumas coisas completamente diferentes, quer do pai, quer da mãe.;5 stars;0.298
Mas tem coisas que eu admiro mais ainda, admiro no pai e na mãe, coisas que herdei.;4 stars;0.3826
E que pode ser a sinceridade, a independência, gostar de fazer as coisas bem feitas, ter, pôr os outros a fazer as coisas bem feitas, tentar ensinar o máximo que pudessem.;5 stars;0.3977
Mas sobretudo, apreciei muito nas minhas duas avós.;3 stars;0.3978
Que quer da mãe do meu pai, quer da mãe da minha mãe, eram pessoas com alguma educação, com alguma formação, com alguma educação intelectual, com alguma formação.;1 star;0.4274
Mas que apesar das vicissitudes da vida, uma porque ficou viúva com uma filha de dois anos.;3 stars;0.3933
Outra porque tinha dez filhos, conseguiram ter uma emancipação, cuidar delas, ser independentes, fazer formação aos filhos, tentar educá-los e pô-los cada um com as suas características, mas que eles tentassem ter uma vivência normal, sem ultrapassarem os problemas e tentassem aprender na vida, subir na vida, aprender o máximo que pudessem.;2 stars;0.3565
E todos eles tiveram uma educação, tiveram uma profissão digna para poder manter na vida.;5 stars;0.5713
E depois, aglomerava tanto uma como outra, fazia muito, juntava a família sempre que podia para se poder fazer as pessoas conversarem, falarem.;5 stars;0.5289
Portanto, de uma e outra tinham, embora com educações completamente diferentes e com situações na vida completamente diferentes, conseguiram fazer isso.;4 stars;0.3337
E isso foi uma coisa que me marcou.;5 stars;0.6248
Eu continuo a lembrar muito bem dos almoços do ano novo em casa da minha avó paterna e das coisas que a minha avó materna me ensinou, a fazer a malha.;5 stars;0.4934
A minha profissão não ia ser essa, mas elas diziam assim, quanto mais coisas tu soubesse fazer, mais independente tu vais ser na vida.;5 stars;0.3558
E isso foi uma das coisas que eu apreciei muito.;5 stars;0.5981
Tentei ultrapassar sempre os problemas com essas atitudes e tentei incluir isso nas minhas filhas e nos meus netos.;5 stars;0.4378
Acho que consegui mais nas filhas do que nos netos, mas consegui de alguma maneira, o que é natural também, de alguma maneira consegui.;3 stars;0.6061
Acho que tenho três filhas, todas diferentes umas das outras, com características pessoais.;3 stars;0.3911
Umas têm mais umas facetas minhas, outras têm outras facetas minhas, ambas têm dos dois pais, do pai e da mãe, com coisas que fizeram com que elas fossem amigas umas das outras, singrassem na vida, fizessem uma boa formação intelectual e uma boa profissão.;5 stars;0.4116
E isso, eu orgulho-me muito disso, acho que isso é uma coisa muito importante.;5 stars;0.5303
Sobretudo numa época em que as mulheres, eu cresci numa época em que as mulheres eram escravas do mundo e, portanto, fazer com que na família as coisas não acontecessem assim, acho que é uma honra, foi uma honra para mim, para os meus, se eles tivessem feito isso, o que eu tento fazer, eu acho que consegui.;5 stars;0.5177
Pronto, acho que isso é uma coisa importante.;4 stars;0.4161
: E achas que nós aprendemos isso também?;3 stars;0.3183
Acho que sim, acho que sim, acho que sim.;1 star;0.4042
Eu, pelo menos, penso que sim, sinto isso.;2 stars;0.3256
Não sei se vão conseguir fazer isso da mesma maneira os vossos descendentes, mas não é fácil, também os condicionalismos agora são diferentes, as liberdades são diferentes também, portanto, não é exatamente igual, até as dificuldades nas profissões também são diferentes, mas que acho que estão, têm tentado e para já, o que eu tenho visto dos netos, para já estão a tentar.;2 stars;0.4247
: Sentes que são pessoas bem formadas?;2 stars;0.3363
Exatamente, exatamente.;5 stars;0.2955
: Muito obrigada.;5 stars;0.371
M. Edite: Nada.;1 star;0.6462
