lema;frequencia
pai;7
fotografia;6
Pedro;6
coisa;5
de ele;5
arte;3
fixe;3
mão;3
pessoa;3
postura;3
prático;3
achar;2
amigo;2
construção;2
diferente;2
fazer;2
feliz;2
filtro;2
liberdade;2
livre;2
manutenção;2
meter;2
miúdo;2
muito;2
pensar;2
perante;2
perceber;2
poder;2
problema;2
realmente;2
saber;2
simbolizar;2
tendência;2
usar;2
vida;2
aceitar;1
adaptar;1
algum;1
altura;1
ano;1
aprender;1
aprendizagem;1
areia;1
assimilar;1
associado;1
autocrítico;1
automóvel;1
barco;1
basta;1
bom;1
capaz;1
carpintaria;1
casa;1
centralidade;1
começar;1
competência;1
complicado;1
computador;1
concretamente;1
conhecer;1
conseguir;1
de eles;1
determinar;1
dever;1
dizer;1
em ele;1
ensinar;1
escolha;1
espelhar;1
espírito;1
estar;1
estrangeiro;1
exagero;1
exercer;1
explorador;1
fácil;1
facto;1
falar;1
fantástico;1
fazer;1
figura;1
filho;1
filtrar;1
fruto;1
gesto;1
giro;1
gosto;1
haver;1
herdar;1
herói;1
Hugo;1
idealizar;1
impressão;1
informação;1
levar;1
mandar;1
máquina;1
material;1
medo;1
meta;1
moda;1
móvel;1
mundo;1
objeto;1
ordem;1
parar;1
passar;1
praia;1
praticidade;1
primeiramente;1
próprio;1
querer;1
questionar;1
realização;1
recurso;1
rodeiar;1
seguir;1
seguro;1
sentir;1
ser;1
ser;1
si;1
solucionar;1
super-herói;1
tear;1
ter;1
ti;1
trabalhar;1
várias;1
ver;1
vista;1
viver;1
