Column1;Column2;Column3
Frase;Sentimento;Confiança
"
Pedro: Uma aprendizagem que levo do meu pai é o facto de ele ser uma pessoa prática, de ensinar uma arte, de trabalhar sempre com as mãos, que se pode conseguir as coisas pela praticidade, primeiramente fazer arte da carpintaria, fazer algo material, fazer móveis, fazer teares, acho que é giro ter aprendido isso dele, que é tu com as tuas mãos, vês um fruto de uma máquina, algum objeto, faz-me seguro de que com as tuas mãos podes fazer muitas coisas, muitas realizações, e podes adaptar isso para tentar ter uma vida prática, solucionar sempre problemas práticos, usando essa competência, usando(…) 

Ent.";5 stars;0.5183
: Saber que tens esse recurso em ti, que és capaz.;5 stars;0.503
Pedro: Sim, e que não me mete medo, às vezes até exagero, porque há coisas mais complicadas que não me devo meter a fazer, mas como herdei isso dele, de ser explorador, de tentar perceber qual é o problema, faz-me com que me meta a fazer coisas não só de uma arte que ele exerceu, mas também outras coisas de manutenção de automóvel ou até manutenção de computadores, é por aí.;3 stars;0.372
Queres parar?;1 star;0.6072
Pedro: Sim.;3 stars;0.308
"(sobre o filho:)

Pedro: A seguir tenho de mandar uma fotografia, é isso, que simbolize isso?";3 stars;0.2734
": Não tem que ser isso, pode ser outra coisa qualquer, uma coisa que(…) 

Pedro: Isso é fácil.";3 stars;0.3075
Em relação ao Hugo, o que acho que tentei passar é o gosto por ser livre, por pensar por si, por fazer filtros, por não aceitar à primeira vista qualquer tipo de informação, qualquer tipo de ordem ou qualquer tipo de tendência.;4 stars;0.2814
O que espelha muito quando me falaste da fotografia foi uma fotografia que tenho lá em casa, uma impressão da fotografia, ele deve ter 7 ou 8 anos, mas ele está na praia, e tem uma postura de liberdade fantástica, faz uma figura de... sou livre, sou feliz, não sei o quê, é muito fixe.;5 stars;0.6072
E concretamente essa fotografia está associada a um gesto que ele estava numa altura em que idealizava o pai, o pai era o super-herói.;1 star;0.2422
E então, sei que estávamos a fazer uma construção também na areia, e ao lado estava um pai com um miúdo, e eram até estrangeiros, ele foi-lhes dizer ao pai que o meu pai é o melhor pai do mundo, é o meu herói.;5 stars;0.3759
Porque tinha lá um barco, uma construção muito mais fixe do que a deles.;2 stars;0.3628
E realmente essa fotografia, lá está, simboliza isso.;5 stars;0.7499
: E sentes que ele assimilou essa coisa da liberdade e do filtro, que ele vive isso?;5 stars;0.3285
Pedro: Sim, sim.;1 star;0.293
Basta ver as vezes a postura dele perante determinadas tendências de moda, ou conhecer os amigos dele, dá para perceber que ele se rodeia também de um grupo de amigos que questionam duas vezes, têm já um espírito autocrítico que é muito bom.;4 stars;0.4866
E várias pessoas têm dito que estes miúdos são diferentes, e isso faz-me feliz, porque não sou eu só a ver isso, mas também outras pessoas a ver que realmente eles têm uma postura perante a vida diferente.;4 stars;0.4463
Tem a ver um pouco de eles saberem filtrar, e de saberem fazer as suas próprias escolhas, e começarem a pensar também neles, na centralidade deles.;3 stars;0.3707
E isso é muito fixe.;5 stars;0.3136
: Obrigada.;5 stars;0.3144
