lema;frequencia
Roscoff;10
Luís;7
marca;7
relógio;5
funcionar;4
ano;3
mostrar;3
pessoa;3
pronto;3
ah;2
comprar;2
dia;2
dizer;2
exibir;2
irmão;2
querer;2
tic-tac;2
achar;1
alguém;1
antigo;1
artesanal;1
atribuir;1
barulho;1
bolso;1
calhar;1
cem;1
certo;1
confrontar;1
descobrir;1
designação;1
desvalorizar;1
devolver;1
durabilidade;1
durante;1
durar;1
emprestar;1
entregar;1
entretanto;1
escolher;1
explicação;1
expressão;1
feirinha;1
ficar;1
fiquei;1
fraco;1
girar;1
giro;1
graça;1
história;1
ideia;1
independentemente;1
ir;1
junto;1
má;1
mão;1
morrer;1
objeto;1
ouver;1
passar;1
praça;1
precisar;1
prestar;1
primeiro;1
procurar;1
pública;1
qualidade;1
ser;1
sinal;1
tanto;1
ter;1
velho;1
