Column1;Column2;Column3
Frase;Sentimento;Confiança
"#Explicação de Luís M. sobre o objeto escolhido (relógio de bolso)

**Luís:** Durante muitos anos, eu ouvia a expressão marca Roscoff como designação de uma coisa que não prestava, que alguém atribuía um certo valor, mostrava, exibia, e as pessoas diziam, ah, isso é marca Roscoff, como se fosse uma coisa muito desvalorizada.";1 star;0.4058
Entretanto, um dia, o meu irmão mais velho disse-me, não, a marca Roscoff era uma marca boa.;2 stars;0.3775
É um dos primeiros relógios que se comprava e durava muitos anos na mão das pessoas.;5 stars;0.5948
Eu fiquei com aquela ideia e pronto, confrontar Roscoff com coisa boa, coisa má, ficou na minha posição.;4 stars;0.3715
Então, um dia, numa feirinha artesanal, de praça, de pública, eu descobri, quando procuro, Roscoff.;1 star;0.3645
E é uma coisa antiga isto.;5 stars;0.2588
Pronto, achei graça e até...;4 stars;0.3637
:  E funcionava?;1 star;0.43
Luís: E funcionava, e funciona.;5 stars;0.4257
Mas se calhar a coisa de dizer a marca Roscoff era dizer que não precisou de comprar um novo, porque ainda tinha o Roscoff.;3 stars;0.311
Luís: Às tantas...;1 star;0.238
: Mas tens um relógio novo?;3 stars;0.3347
Não, esta aqui é a marca Roscoff.;1 star;0.6619
Passaram a ser sinal de durabilidade e não de coisa de fraca qualidade.;5 stars;0.3358
Luís:  Eu até vou ver se é que funciona.;3 stars;0.315
Mas independentemente de estar...;2 stars;0.4178
:  E faz barulho?;1 star;0.3786
Ah, sim, tic-tac.;5 stars;0.2549
Tic-tac.;4 stars;0.3117
Luís: E tem mais de 100 anos, de certeza.;5 stars;0.4546
Emprestei ao meu irmão para ele depois exibir, junto das pessoas que... Que ele quisesse mostrar.;5 stars;0.4036
Quando quisesse mostrar.;1 star;0.2266
Roscoff.;3 stars;0.229
Roscoff, a marca está aqui.;5 stars;0.2887
E pronto, ele, pouco tempo antes de morrer...;3 stars;0.2558
:  Entregou-te o relógio?;1 star;0.4267
Luís:  Devolveu-me o relógio.;1 star;0.6654
E é assim.;5 stars;0.3985
: Muito gira essa história.;3 stars;0.2669
Obrigada.;5 stars;0.3885
Muito gira.;2 stars;0.4275
