lema;frequencia
achar;5
prazer;5
eu;4
cozinhar;4
amor;3
Sara;2
ato;2
carinho;2
ser;2
algum;2
dar;2
imenso;2
haver;2
comida;2
entrevista;1
realizar;1
ano;1
característica;1
positivo;1
sentir;1
evidente;1
significar;1
longo;1
evidenciar;1
mãe;1
passar;1
de ela;1
inicialmente;1
obrigação;1
diariamente;1
filho;1
marido;1
almoço;1
domingo;1
data;1
festivo;1
feedback;1
ir;1
refeição;1
prazeroso;1
acontecer;1
cozinhar;1
evento;1
específico;1
especial;1
quase;1
importante;1
comigo;1
partilhar;1
