Column1;Column2;Column3
Frase;Sentimento;Confiança
"Entrevista realizada a Sara R., 51 anos

Sara: Acho que a característica positiva é que eu sinto o que está mais... o que é mais evidente em mim.";3 stars;0.3272
É o ato de... de cozinhar para os outros.;5 stars;0.3697
Significar o carinho e o amor que se tem por eles.;5 stars;0.5197
Ou seja, isso é mesmo um ato de amor.;5 stars;0.4434
E eu acho que ao longo do tempo isto se tem evidenciado mais.;3 stars;0.4823
Faz parte do que a minha mãe passou para mim, acho eu.;5 stars;0.5062
Se não é... Da parte dela, inicialmente era só uma obrigação cozinhar diariamente para os filhos, para o marido.;2 stars;0.3971
Mais tarde, com os almoços de domingo ou... datas festivas em que ela cozinhava alguma coisa que lhe dava imenso prazer e que os outros... e que lhe dava imenso prazer a ela cozinhar.;3 stars;0.2837
E depois havia o feedback... de quem ia a essas... a essas refeições.;1 star;0.4408
Ou seja, era uma coisa prazerosa.;3 stars;0.2743
E a mim acontece o mesmo.;5 stars;0.2641
Quando cozinho... com mais prazer é quando há algum evento mais específico.;3 stars;0.3815
O especial.;5 stars;0.3031
E que acho que é a parte mais, para mim, mais... quase mais importante de ser a... dar prazer através da comida.;3 stars;0.4849
A quem se dá a comida, comigo.;5 stars;0.384
Não é prazer, é partilhar, é mesmo carinho, é amor.;5 stars;0.2753
Acho que é isso.;5 stars;0.2795
