expressao;frequencia;tipo
a gente;44;bigram
que eu;23;bigram
meu pai;19;bigram
tem que;18;bigram
que a;16;bigram
gente não;15;bigram
as coisas;14;bigram
coisas que;12;bigram
a senhora;11;bigram
as pessoas;11;bigram
que está;11;bigram
o que;11;bigram
acho que;10;bigram
eu acho;9;bigram
que é;9;bigram
a vida;9;bigram
e isso;9;bigram
uma coisa;8;bigram
e a;8;bigram
o meu;8;bigram
eu não;8;bigram
gente tem;8;bigram
os filhos;7;bigram
mas a;7;bigram
a minha;7;bigram
alguma coisa;7;bigram
coisa que;7;bigram
da gente;7;bigram
não pode;7;bigram
se a;7;bigram
eu sou;7;bigram
correr risco;7;bigram
era a;6;bigram
a educação;6;bigram
hoje em;6;bigram
em dia;6;bigram
para mim;6;bigram
muito rígida;6;bigram
gente foi;6;bigram
isso aí;6;bigram
isso é;6;bigram
que as;6;bigram
é uma;6;bigram
na minha;6;bigram
vida da;6;bigram
sou muito;6;bigram
porque é;6;bigram
é a;6;bigram
é que;6;bigram
que arriscar;6;bigram
que ele;5;bigram
eu fiz;5;bigram
porque eu;5;bigram
doze anos;5;bigram
minha mãe;5;bigram
um metro;5;bigram
metro e;5;bigram
e setenta;5;bigram
foi uma;5;bigram
para os;5;bigram
eu tenho;5;bigram
do meu;5;bigram
foi a;5;bigram
de uma;5;bigram
de ter;5;bigram
das pessoas;5;bigram
essa parte;5;bigram
o melhor;5;bigram
era o;5;bigram
ver as;5;bigram
uma certa;5;bigram
às vezes;5;bigram
que você;5;bigram
arriscar a;5;bigram
era uma;4;bigram
como é;4;bigram
os pais;4;bigram
todo mundo;4;bigram
que eles;4;bigram
foi de;4;bigram
de ônibus;4;bigram
tinha doze;4;bigram
eu tinha;4;bigram
não eu;4;bigram
eu já;4;bigram
o médico;4;bigram
ver o;4;bigram
mas eu;4;bigram
que tem;4;bigram
é como;4;bigram
como se;4;bigram
eles foram;4;bigram
uma forma;4;bigram
aquilo ali;4;bigram
forma de;4;bigram
não é;4;bigram
de ver;4;bigram
é isso;4;bigram
isso porque;4;bigram
isso que;4;bigram
está acontecendo;4;bigram
eu herdei;4;bigram
de coisas;4;bigram
eu lembro;4;bigram
