word,occu,freq-per-mill,rank,racio
de,20,151326.51,2,0.00
o,14,111821.02,6,0.00
e,13,149253.73,4,0.00
ser,13,39263.09,36,0.00
que,13,103092.78,7,0.00
meu,10,6668.92,137,0.00
eu,10,12775.91,63,0.00
entrevistador,9,25.69,38929,0.35
mesmo,9,14556.04,66,0.00
a,8,102165.53,5,0.00
um,8,52278.83,13,0.00
Entrevistado,7,59.78,100066,0.12
sim,7,2233.64,445,0.00
em,7,70175.66,10,0.00
tudo,6,8952.55,109,0.00
com,6,68027.21,12,0.00
muito,6,18975.33,50,0.00
isso,6,13755.16,70,0.00
bem,5,13947.00,69,0.00
também,5,19723.87,48,0.00
mãe,4,2054.65,484,0.00
ter,4,12362.68,80,0.00
sempre,4,9737.10,100,0.00
quando,4,13568.52,71,0.00
agora,4,5109.86,193,0.00
estar,3,7228.96,238,0.00
filho,3,1989.26,500,0.00
querer,3,1022.81,1953,0.00
teu,3,435.77,1759,0.01
orgulhoso,3,48.21,15655,0.06
sem,3,13037.81,74,0.00
outro,3,7380.79,167,0.00
riso,3,105.60,15861,0.03
lembrar,3,359.25,1679,0.01
ti,3,290.39,3441,0.01
tu,3,378.11,2642,0.01
força,3,1707.36,583,0.00
estudar,3,494.88,2018,0.01
trabalhar,3,1427.14,698,0.00
mas,3,21413.28,44,0.00
esse,3,6958.94,125,0.00
pra,3,6108.74,161,0.00
Oi,2,407.22,2453,0.00
fazer,2,11806.38,82,0.00
trabalho,2,8643.04,113,0.00
universidade,2,345.22,2894,0.01
falar,2,2428.95,409,0.00
contigo,2,115.22,8676,0.02
só,2,10131.71,96,0.00
coisa,2,3707.82,267,0.00
poder,2,9774.99,275,0.00
lá,2,3835.83,258,0.00
pergunta,2,597.48,1671,0.00
pai,2,1587.54,552,0.00
te,2,2495.63,398,0.00
bom,2,3954.57,216,0.00
herdar,2,7.38,37740,0.27
ela,2,9930.49,98,0.00
coração,2,1477.76,674,0.00
até,2,16207.46,59,0.00
vejer,2,425.22,OFV,0.00
vez,2,7268.50,108,0.00
ouvir,2,736.00,1356,0.00
dar,2,3239.95,255,0.00
gente,2,3208.21,309,0.00
cansado,2,85.94,9247,0.02
exemplo,2,4334.63,228,0.00
algum,2,2423.07,379,0.00
irmã,2,409.05,2442,0.00
