word;occu;freq-per-mill;usual;rank;racio;Column1
;;351;9112150;37037037;0;25
o;244;6334372;10675554;6;59;
.;222;5763240;17543860;3;33;
que;172;4465213;10309278;7;43;
ser;167;4335410;3201408;36;135;
de;165;4283489;13577469;2;32;
eu;112;2907580;1370739;63;212;
não;81;2102804;4219409;21;50;
ter;78;2024922;1224250;80;165;
e;72;1869159;14925373;4;13;
em;70;1817238;5382477;10;34;
um;65;1687435;5852466;13;29;
coisa;53;1375909;369031;267;373;
gente;52;1349948;320821;309;421;
meu;47;1220145;652393;137;187;
muito;46;1194185;1587467;50;75;
mas;39;1012461;2141328;44;47;
para;37;960540;7299270;11;13;
estar;37;960540;1214007;238;79;
isso;37;960540;1375516;70;70;
