word,occu,freq-per-mill,rank,racio
gente,52,46889.09,3208.21,309,0.02
coisa,34,30658.25,3707.82,267,0.01
pai,29,26149.68,1802.78,552,0.02
hoje,23,20739.40,6035.00,163,0.00
pessoa,23,20739.40,4053.51,244,0.01
acontecer,17,15329.13,699.45,1427,0.02
vida,17,15329.13,10787.49,90,0.00
achar,16,14427.41,416.89,2396,0.04
de,16,14427.41,212765.96,2,0.00
ter,14,12623.99,12091.90,80,0.00
correr,13,11722.27,401.17,2490,0.03
senhora,12,10820.56,222.14,4499,0.05
bom,12,10820.56,4572.47,216,0.00
educação,11,9918.85,1835.87,542,0.01
filho,11,9918.85,1989.26,500,0.01
ficar,11,9918.85,3051.57,325,0.00
algum,11,9918.85,2619.86,379,0.00
deixar,11,9918.85,2253.78,441,0.00
certo,11,9918.85,1737.02,573,0.01
risco,11,9918.85,1423.08,700,0.01
dia,10,9017.13,14347.20,67,0.00
ir,10,9017.13,2263.98,439,0.00
eu,10,9017.13,15220.70,63,0.00
muito,9,8115.42,18975.33,50,0.00
mudar,9,8115.42,952.65,1047,0.01
ser,8,7213.71,25839.79,36,0.00
dar,8,7213.71,3880.48,255,0.00
ano,8,7213.71,10449.32,93,0.00
mãe,8,7213.71,2054.65,484,0.00
lembrar,8,7213.71,594.64,1679,0.01
data,8,7213.71,1698.66,586,0.00
experiência,8,7213.71,2458.81,404,0.00
criar,7,6311.99,1939.11,513,0.00
principalmente,7,6311.99,2248.71,442,0.00
rígido,7,6311.99,94.89,10536,0.07
fiz,7,6311.99,849.11,1175,0.01
memória,7,6311.99,730.09,1367,0.01
passar,7,6311.99,1873.71,531,0.00
olhar,7,6311.99,961.82,1037,0.01
arriscar,7,6311.99,100.93,9905,0.07
ok,6,5410.28,191.80,5211,0.03
tirar,6,5410.28,854.92,1167,0.01
falar,6,5410.28,2428.95,409,0.00
viver,6,5410.28,1021.76,976,0.01
mundo,5,4508.57,8149.96,120,0.00
rigidez,5,4508.57,63.89,15648,0.08
médico,5,4508.57,966.46,1032,0.01
Recife,5,4508.57,304.07,3286,0.02
metro,5,4508.57,157.31,6354,0.03
setenta,5,4508.57,83.05,12038,0.06
filha,5,4508.57,939.23,1062,0.01
comigo,5,4508.57,610.61,1635,0.01
Mudou,5,4508.57,387.64,45128,0.01
pensar,5,4508.57,1198.04,832,0.00
fazer,5,4508.57,11806.38,82,0.00
herdar,5,4508.57,26.50,37740,0.19
em,5,4508.57,78740.16,10,0.00
poder,4,3606.85,3601.01,275,0.00
viagem,4,3606.85,1389.47,717,0.00
ônibus,4,3606.85,597.12,1672,0.01
crescer,4,3606.85,403.76,2474,0.01
hotel,4,3606.85,741.45,1346,0.01
medicina,4,3606.85,291.49,3428,0.01
único,4,3606.85,1605.91,620,0.00
causa,4,3606.85,1997.20,498,0.00
totalmente,4,3606.85,1102.90,904,0.00
outro,4,3606.85,5892.75,167,0.00
trabalho,4,3606.85,8643.04,113,0.00
educar,4,3606.85,88.72,11269,0.05
característica,4,3606.85,330.50,3023,0.01
conclusão,4,3606.85,469.77,2126,0.01
combater,4,3606.85,263.73,3789,0.02
ninguém,4,3606.85,1267.91,786,0.00
balde,4,3606.85,54.58,18320,0.07
pequeno,4,3606.85,1094.45,911,0.00
querer,3,2705.14,511.33,1953,0.01
criança,3,2705.14,1314.58,758,0.00
autoridade,3,2705.14,444.90,2245,0.01
problema,3,2705.14,2757.10,360,0.00
positivo,3,2705.14,384.96,2595,0.01
atitude,3,2705.14,433.33,2305,0.01
infância,3,2705.14,426.31,2343,0.01
conta,3,2705.14,5058.17,195,0.00
época,3,2705.14,2111.04,471,0.00
exame,3,2705.14,535.13,1866,0.01
dizer,3,2705.14,3118.18,318,0.00
diferente,3,2705.14,1642.85,606,0.00
mau,3,2705.14,313.80,3184,0.01
importante,3,2705.14,4103.41,241,0.00
indispensável,3,2705.14,179.06,5582,0.02
entender,3,2705.14,1049.65,950,0.00
gostar,3,2705.14,287.96,3470,0.01
desculpa,3,2705.14,162.90,6136,0.02
errar,3,2705.14,87.94,11369,0.03
flexível,3,2705.14,131.15,7622,0.02
vir,3,2705.14,726.37,1374,0.00
jeito,3,2705.14,754.89,1322,0.00
tapar,3,2705.14,33.06,30249,0.09
perguntar,3,2705.14,220.23,4538,0.01
mostrar,3,2705.14,941.89,1059,0.00
segurança,3,2705.14,3079.77,322,0.00
tentar,3,2705.14,1029.12,969,0.00
avó,2,1803.43,170.16,5874,0.01
comportar,2,1803.43,61.39,16287,0.03
quebrar,2,1803.43,178.26,5607,0.01
lugar,2,1803.43,4470.27,221,0.00
haver,2,1803.43,565.71,1765,0.00
respeito,2,1803.43,1758.40,566,0.00
ordem,2,1803.43,1143.25,872,0.00
último,2,1803.43,1829.16,544,0.00
lembrança,2,1803.43,124.23,8047,0.02
marcar,2,1803.43,273.92,3648,0.01
várias,2,1803.43,2633.66,377,0.00
irmã,2,1803.43,409.05,2442,0.00
morar,2,1803.43,213.83,4674,0.01
centímetro,2,1803.43,31.71,31537,0.06
preocupado,2,1803.43,141.95,7042,0.01
tomar,2,1803.43,1135.46,878,0.00
exercício,2,1803.43,872.83,1143,0.00
repouso,2,1803.43,115.36,8666,0.02
sangue,2,1803.43,786.35,1269,0.00
colégio,2,1803.43,167.79,5957,0.01
vovô,2,1803.43,24.52,40781,0.08
viajei,2,1803.43,31.13,32118,0.06
adulto,2,1803.43,211.83,4718,0.01
levar,2,1803.43,1395.28,714,0.00
cidade,2,1803.43,7107.32,138,0.00
voltar,2,1803.43,914.33,1091,0.00
sentido,2,1803.43,1993.22,499,0.00
obviamente,2,1803.43,185.47,5389,0.01
fato,2,1803.43,2626.74,378,0.00
ensinar,2,1803.43,282.19,3541,0.01
confiança,2,1803.43,636.25,1569,0.00
valor,2,1803.43,4086.64,242,0.00
marca,2,1803.43,2017.35,493,0.00
faça,2,1803.43,785.11,1271,0.00
procurar,2,1803.43,554.72,1800,0.00
hora,2,1803.43,2867.79,346,0.00
dureza,2,1803.43,58.17,17189,0.03
duro,2,1803.43,211.30,4730,0.01
severo,2,1803.43,38.43,26017,0.05
pergunta,2,1803.43,597.48,1671,0.00
orgulhar,2,1803.43,26.40,37876,0.08
analisar,2,1803.43,419.16,2383,0.00
aceitar,2,1803.43,361.57,2763,0.01
desculpar,2,1803.43,31.00,32256,0.06
existir,2,1803.43,316.39,3158,0.01
ato,2,1803.43,815.20,1224,0.00
correto,2,1803.43,289.46,3452,0.01
local,2,1803.43,4004.81,247,0.00
evento,2,1803.43,2843.33,349,0.00
mainha,2,1803.43,7.11,140549,0.28
simplesmente,2,1803.43,912.66,1093,0.00
bater,2,1803.43,262.35,3809,0.01
ver,2,1803.43,5007.51,197,0.00
chegar,2,1803.43,1661.96,599,0.00
exatamente,2,1803.43,734.92,1358,0.00
estar,2,1803.43,4154.55,238,0.00
tanque,2,1803.43,115.48,8657,0.02
vazamento,2,1803.43,98.09,10192,0.02
furo,2,1803.43,62.83,15913,0.03
colocar,2,1803.43,1241.16,803,0.00
encher,2,1803.43,111.16,8993,0.02
sol,2,1803.43,789.45,1264,0.00
consertar,2,1803.43,61.89,16156,0.03
história,2,1803.43,4933.40,200,0.00
enchente,2,1803.43,32.61,30666,0.06
tirano,2,1803.43,28.02,35689,0.07
casa,2,1803.43,6910.85,142,0.00
provedor,2,1803.43,77.38,12921,0.03
mar,2,1803.43,967.40,1031,0.00
surpreender,2,1803.43,121.07,8257,0.02
pegar,2,1803.43,476.03,2098,0.00
responder,2,1803.43,502.59,1987,0.00
próprio,2,1803.43,2579.31,385,0.00
destino,2,1803.43,717.00,1392,0.00
revelar,2,1803.43,180.87,5526,0.01
sonho,2,1803.43,673.54,1482,0.00
lado,2,1803.43,4430.66,223,0.00
lição,2,1803.43,148.13,6748,0.01
aprender,2,1803.43,846.96,1178,0.00
porta,2,1803.43,887.55,1124,0.00
Eco,1,901.71,58.65,17480,0.02
Raízes,1,901.71,197.64,30349,0.01
gravar,1,901.71,201.75,4954,0.00
entrevista,1,901.71,787.59,1267,0.00
antigo,1,901.71,647.37,1542,0.00
próximo,1,901.71,2311.07,430,0.00
mandma,1,901.71,1.00,OFV,1.00
íamos,1,901.71,46.43,21537,0.02
desordem,1,901.71,59.31,16858,0.02
Eram,1,901.71,1920.49,9568,0.00
entrar,1,901.71,1289.16,773,0.00
restaurante,1,901.71,492.93,2026,0.00
ordeiro,1,901.71,8.30,120440,0.12
suave,1,901.71,232.41,4300,0.00
posição,1,901.71,1225.94,813,0.00
decorrência,1,901.71,144.79,6904,0.01
forte,1,901.71,1608.49,619,0.00
evidente,1,901.71,229.69,4351,0.00
depender,1,901.71,163.67,6107,0.01
situação,1,901.71,2405.58,413,0.00
Alguma,1,901.71,2423.07,17884,0.00
presente,1,901.71,2434.87,408,0.00
sozinha,1,901.71,232.47,4299,0.00
Penedo,1,901.71,40.74,24543,0.02
cresci,1,901.71,38.37,26058,0.03
semana,1,901.71,3463.80,286,0.00
centro,1,901.71,1570.60,634,0.00
Hotel,1,901.71,741.45,2716,0.00
Guararapes,1,901.71,42.54,23502,0.02
sintar,1,901.71,1.00,OFV,1.00
cheiro,1,901.71,250.02,3997,0.00
desinfetante,1,901.71,17.67,56595,0.06
dezesseis,1,901.71,59.20,16889,0.02
inesquecível,1,901.71,129.42,7724,0.01
Instituto,1,901.71,1277.63,780,0.00
clínica,1,901.71,258.02,3873,0.00
nuclear,1,901.71,152.84,6540,0.01
teste,1,901.71,582.51,1714,0.00
tipo,1,901.71,4450.38,222,0.00
enviar,1,901.71,503.09,1985,0.00
Estados,1,901.71,1965.80,506,0.00
Unidos,1,901.71,1539.17,647,0.00
retornei,1,901.71,19.01,52596,0.05
trinta,1,901.71,246.57,4053,0.00
resultado,1,901.71,2338.09,425,0.00
realmente,1,901.71,1942.88,512,0.00
alta,1,901.71,1950.46,510,0.00
alto,1,901.71,1399.19,712,0.00
marcante,1,901.71,145.93,6850,0.01
Médico,1,901.71,966.46,7312,0.00
preocupação,1,901.71,443.91,2250,0.00
exclusivamente,1,901.71,417.07,2395,0.00
família,1,901.71,3763.64,263,0.00
carro,1,901.71,1603.33,621,0.00
Entendi,1,901.71,119.25,40502,0.01
tecnologia,1,901.71,1506.70,661,0.00
transporte,1,901.71,971.16,1027,0.00
avanço,1,901.71,257.29,3884,0.00
caráter,1,901.71,516.34,1934,0.00
sensivelmente,1,901.71,33.75,29626,0.03
Respeito,1,901.71,1758.40,23130,0.00
Valores,1,901.71,1634.79,7411,0.00
trabalhar,1,901.71,1427.14,698,0.00
relação,1,901.71,3972.98,249,0.00
pessoal,1,901.71,1640.15,607,0.00
imagem,1,901.71,1621.53,614,0.00
confiável,1,901.71,160.42,6231,0.01
frase,1,901.71,394.21,2534,0.00
esqueci,1,901.71,74.58,13405,0.01
presença,1,901.71,1588.06,627,0.00
descartar,1,901.71,49.42,20233,0.02
toa,1,901.71,97.78,10224,0.01
seja,1,901.71,7770.01,126,0.00
pautar,1,901.71,28.52,35061,0.04
melhor,1,901.71,8285.00,118,0.00
ager,1,901.71,2.40,417140,0.42
posicionar,1,901.71,73.44,13614,0.01
criação,1,901.71,1529.75,651,0.00
avós,1,901.71,113.67,8795,0.01
infinitamente,1,901.71,56.52,17691,0.02
dúvida,1,901.71,904.40,1103,0.00
absoluto,1,901.71,170.83,5851,0.01
personalidade,1,901.71,402.46,2482,0.00
lapidar,1,901.71,16.21,61680,0.06
ruim,1,901.71,393.59,2538,0.00
Ok,1,901.71,191.80,10180,0.01
principal,1,901.71,2508.15,396,0.00
ideal,1,901.71,986.49,1011,0.00
crítica,1,901.71,506.15,1973,0.00
crítico,1,901.71,225.29,4436,0.00
comportamento,1,901.71,714.95,1396,0.00
nisso,1,901.71,339.48,2943,0.00
ah,1,901.71,93.41,10703,0.01
Desculpa,1,901.71,162.90,25642,0.01
fulano,1,901.71,35.19,28412,0.03
assar,1,901.71,60.96,16402,0.02
má,1,901.71,247.18,4043,0.00
piorar,1,901.71,91.13,10971,0.01
disciplina,1,901.71,448.89,2225,0.00
regime,1,901.71,675.81,1477,0.00
castigo,1,901.71,87.61,11411,0.01
cobrança,1,901.71,284.68,3510,0.00
frouxa,1,901.71,15.04,66474,0.07
punição,1,901.71,131.71,7590,0.01
frouxo,1,901.71,18.36,54466,0.05
associar,1,901.71,75.09,13314,0.01
Fernando,1,901.71,776.58,1285,0.00
irmão,1,901.71,642.38,1554,0.00
vejor,1,901.71,1.00,OFV,1.00
facilidade,1,901.71,363.41,2749,0.00
decorar,1,901.71,136.90,7302,0.01
episódio,1,901.71,500.33,1996,0.00
chamar,1,901.71,403.60,2475,0.00
elefante,1,901.71,49.32,20272,0.02
vovó,1,901.71,42.60,23470,0.02
solidário,1,901.71,57.17,17489,0.02
humano,1,901.71,992.36,1005,0.00
empatia,1,901.71,91.86,10883,0.01
precisar,1,901.71,431.46,2315,0.00
olho,1,901.71,434.27,2300,0.00
apurar,1,901.71,105.54,9472,0.01
consiger,1,901.71,1.00,OFV,1.00
conseguir,1,901.71,1172.75,850,0.00
cheguar,1,901.71,1.00,OFV,1.00
Continua,1,901.71,864.53,19106,0.00
