word;occu;freq-per-mill;rank;racio
gente;5200;320821;309;2
coisa;3400;368053;267;1
pai;2900;165434;552;2
hoje;2300;603500;163;0
pessoa;2300;898900;244;0
acontecer;1700;60263;1427;3
vida;1700;1078749;90;0
achar;1600;123987;2396;1
de;1600;157207;2;1
ter;1400;439070;80;0
correr;1300;34158;2490;4
senhora;1200;22214;4499;5
bom;1200;735867;216;0
educação;1100;184223;542;1
filho;1100;171725;500;1
ficar;1100;228880;325;0
algum;1100;247674;379;0
deixar;1100;138348;441;1
certo;1100;130974;573;1
risco;1100;134053;700;1
dia;1000;1284109;67;0
ir;1000;125508;439;1
eu;1000;261301;63;0
muito;900;312751;50;0
mudar;900;38072;1047;2
ser;800;390024;36;0
dar;800;131009;255;1
ano;800;1385671;93;0
mãe;800;205465;484;0
lembrar;800;19092;1679;4
data;800;28116;586;3
experiência;800;178239;404;0
criar;700;32772;513;2
principalmente;700;224871;442;0
rígido;700;5857;10536;12
fiz;700;84911;1175;1
memória;700;73009;1367;1
passar;700;178053;531;0
olhar;700;55684;1037;1
arriscar;700;10093;9905;7
ok;600;19180;5211;3
tirar;600;74667;1167;1
falar;600;41064;409;1
viver;600;81192;976;1
mundo;500;814996;120;0
rigidez;500;6389;15648;8
médico;500;96646;1032;1
Recife;500;30407;3286;2
metro;500;15731;6354;3
setenta;500;8305;12038;6
filha;500;93923;1062;1
comigo;500;61061;1635;1
Mudou;500;38764;45128;1
pensar;500;62505;832;1
fazer;500;132533;82;0
herdar;500;1747;37740;29
em;500;24202;10;2
poder;400;58561;275;1
viagem;400;138947;717;0
ônibus;400;59712;1672;1
crescer;400;25607;2474;2
hotel;400;74145;1346;1
medicina;400;29149;3428;1
único;400;151355;620;0
causa;400;117437;498;0
totalmente;400;110290;904;0
outro;400;589275;167;0
trabalho;400;864304;113;0
educar;400;4905;11269;8
característica;400;33050;3023;1
conclusão;400;30426;2126;1
combater;400;28615;3789;1
ninguém;400;126791;786;0
balde;400;5458;18320;7
pequeno;400;80991;911;0
querer;300;75581;1953;0
criança;300;244200;758;0
autoridade;300;44490;2245;1
problema;300;273211;360;0
positivo;300;32984;2595;1
atitude;300;29098;2305;1
infância;300;42631;2343;1
conta;300;505817;195;0
época;300;211104;471;0
exame;300;45310;1866;1
dizer;300;342048;318;0
diferente;300;164285;606;0
mau;300;62512;3184;0
