lema;frequencia
absolutamente;1
aceitar;2
achar;32
acontecer;2
acreditar;3
adaptar;1
admira;2
admirar;2
aglomerar;1
agradecido;1
ah;2
ajuda;1
alguém;1
algum;12
almoço;2
altura;2
amiga;1
amigo;2
amor;3
ano;6
anomalia;1
antigo;1
apesar;1
apreciar;2
aprender;7
aprendizagem;1
areia;1
arranjar;1
arte;3
artesanal;1
assimilar;1
associado;1
atitude;1
ato;2
atribuír;1
autocrítico;1
automóvel;1
avó;5
badana;1
barco;1
barulho;1
basta;1
beneficiar;1
bocadinho;1
bocado;1
bom;3
bonito;1
calhar;1
Canadá;1
capaz;2
característica;8
caráter;2
carinho;2
carpintaria;1
casa;2
castigar;2
castigo;1
cem;1
centralidade;1
certo;1
chamado;1
chamar;1
Chico;1
choro;1
claro;2
classe;1
coisa;17
colega;1
começar;2
comida;2
comigo;1
comovente;1
comovido;1
competência;4
completamente;3
complicado;1
comprar;2
computador;1
comum;1
concretamente;1
condicionalismo;1
confrontar;1
conhecer;1
conseguir;8
construção;2
contente;1
continuar;1
conversar;1
correr;2
costumar;1
cozinhar;4
cozinhar;1
crescer;1
criar;1
cuidar;1
curiosidade;1
dar;6
data;1
de ela;1
de elas;1
de ele;6
de eles;1
decisão;1
dentada;1
descendente;1
descobrir;1
designação;1
desvalorizar;1
determinar;1
dever;3
devolver;1
dia;2
diariamente;1
diferente;9
difícil;1
dificuldade;1
digna;1
diretor;2
dizer;6
domingo;1
durabilidade;1
durante;1
durar;1
educação;4
educar;2
ego;1
elemento;1
eles;1
em ele;1
emancipação;1
emoção;1
empregado;1
emprestar;1
encher;1
enfrentar;1
ensinar;5
entender;1
entregar;1
entretanto;1
entrevista;2
envaidecer;1
época;2
escolha;1
escrava;1
especial;2
específico;1
espelhar;1
espírito;1
essencial;1
estar;1
estrangeiro;1
eu;10
evento;1
evidenciar;1
evidente;1
exagero;1
exatamente;3
execução;1
exercer;2
exibir;2
explorador;1
explorar;1
expressão;1
exprimir;2
exterior;1
faceta;2
fácil;2
facilidade;1
facilitar;1
facto;2
falar;4
família;3
fantástico;1
fazer;8
fé;1
feedback;1
feirinha;1
feliz;2
festivo;1
ficar;5
figura;1
filha;7
filho;8
filtrar;1
filtro;2
fita;1
fixe;3
formação;4
formar;1
fotografia;6
fraco;1
França;1
frontal;1
fruto;1
funcionar;4
futuro;1
gabar;1
gabar;1
generosidade;1
generoso;1
gente;2
gesto;1
girar;1
giro;2
gostar;4
gosto;1
graça;1
hás-de;2
haver;6
herança;1
herdar;11
herói;1
história;1
hoje;1
honesto;1
honra;2
hora;1
Hugo;1
idealizar;1
ideia;1
igual;1
imenso;2
importante;3
impressão;1
imprimir;1
incluir;1
independência;1
independente;2
independentemente;1
informação;1
inicialmente;1
intelectual;2
interromper;1
ir;7
irmão;5
jantar;1
juntar;1
junto;1
lembrar;3
Leta;1
levar;1
liberdade;3
lidar;1
ligar;1
linguístico;1
livre;2
longo;1
má;1
mãe;11
malha;1
mandar;1
maneira;5
manter;1
manutenção;2
mão;4
máquina;3
marca;7
marcar;1
marcenaria;1
marido;1
material;1
materno;1
medo;1
menina;2
mesa;3
mesmo;2
meta;1
meter;2
mexer;1
miúdo;2
mocidade;1
moda;1
morrer;1
mostrar;3
móvel;1
muito;2
mulher;2
mundial;1
mundo;2
Nato;2
natural;1
neto;3
normal;1
objeto;1
obrigação;1
olhar;1
ordem;1
orgulhar;3
outro;1
ouvir;2
pai;22
parar;2
partilhar;1
passar;3
paterno;1
Patrícia;1
pedir;1
pensar;3
perante;2
perceber;2
pergunta;4
perguntar;1
perna;1
personalidade;1
pessoa;9
pessoal;1
Pirinéus;1
poder;6
pôr;3
positivo;1
possibilidade;1
postura;3
praça;1
praia;1
praticidade;1
prático;3
prazer;5
prazeroso;1
precisar;4
preciso;1
prestar;1
primeiramente;1
primeiro;1
privilegiar;1
problema;4
procurar;1
profissão;4
pronto;8
propriamente;1
próprio;1
proteger;1
protegido;1
protestar;2
pública;1
puto;1
puxar;1
qualidade;1
quase;1
querer;4
questionar;1
quiser;3
quiseres;2
reager;2
reagir;1
realização;1
realmente;2
recurso;1
refeição;1
relacionar-se;1
relógio;4
rígido;2
roda;1
rodear;1
Roscoff;10
saber;4
seguir;1
seguro;1
sente;7
sentir;7
ser;9
serra;1
si;1
significar;1
simbolizar;2
sinal;1
sinceridade;1
singrar;1
situação;1
sobretudo;2
social;2
solucionar;1
soubesse;1
subir;1
suficiente;2
suficientemente;1
super-herói;1
tanto;1
tear;2
tendência;2
tentar;4
ter;12
ti;3
tic-tac;2
trabalhar;2
transmissão;1
transmitir;5
ultrapassar;2
urgência;1
usar;2
várias;1
veemente;1
velho;1
ver;5
viagem;1
vicissitude;1
vida;9
vista;1
viúva;1
vivência;1
viver;1
voluntariamente;1
vontade;1
