lema;frequencia
gente;52
coisa;34
pai;29
hoje;23
pessoa;23
acontecer;17
vida;17
achar;16
ter;14
correr;13
senhora;12
bom;12
educação;11
filho;11
ficar;11
algum;11
deixar;11
certo;11
risco;11
dia;10
ir;10
eu;10
muito;9
mudar;9
de ele;9
ser;8
dar;8
ano;8
mãe;8
lembrar;8
data;8
experiência;8
criar;7
principalmente;7
rígido;7
fiz;7
memória;7
passar;7
olhar;7
arriscar;7
ok;6
tirar;6
falar;6
viver;6
mundo;5
rigidez;5
médico;5
Recife;5
metro;5
setenta;5
filha;5
comigo;5
Mudou;5
pensar;5
fazer;5
herdar;5
poder;4
viagem;4
ônibus;4
crescer;4
hotel;4
medicina;4
único;4
causa;4
totalmente;4
outro;4
trabalho;4
educar;4
característica;4
desculpa;4
de aquilo;4
conclusão;4
combater;4
ninguém;4
balde;4
pequeno;4
querer;3
criança;3
autoridade;3
problema;3
positivo;3
atitude;3
infância;3
conta;3
época;3
exame;3
dizer;3
diferente;3
mau;3
importante;3
indispensável;3
entender;3
de eles;3
gostar;3
errar;3
em isso;3
flexível;3
vir;3
jeito;3
tapar;3
perguntar;3
mostrar;3
segurança;3
tentar;3
avó;2
comportar;2
quebrar;2
lugar;2
haver;2
respeito;2
ordem;2
último;2
lembrança;2
marcar;2
várias;2
irmã;2
morar;2
centímetro;2
preocupado;2
tomar;2
exercício;2
repouso;2
sangue;2
colégio;2
vovô;2
viajei;2
adulto;2
levar;2
cidade;2
voltar;2
sentido;2
obviamente;2
fato;2
ensinar;2
confiança;2
valor;2
marca;2
faça;2
procurar;2
hora;2
dureza;2
duro;2
severo;2
pergunta;2
orgulhar;2
analisar;2
aceitar;2
desculpar;2
existir;2
ato;2
correto;2
local;2
evento;2
mainha;2
simplesmente;2
bater;2
ver;2
chegar;2
exatamente;2
estar;2
tanque;2
vazamento;2
furo;2
colocar;2
encher;2
sol;2
consertar;2
história;2
enchente;2
tirano;2
casa;2
provedor;2
mar;2
surpreender;2
pegar;2
responder;2
próprio;2
destino;2
revelar;2
sonho;2
em aquilo;2
lado;2
lição;2
aprender;2
porta;2
Eco;1
Raízes;1
gravar;1
entrevista;1
antigo;1
próximo;1
mandar;1
íamos;1
desordem;1
Eram;1
entrar;1
restaurante;1
ordeiro;1
suave;1
posição;1
decorrência;1
forte;1
evidente;1
depender;1
situação;1
Alguma;1
presente;1
sozinha;1
Penedo;1
cresci;1
semana;1
centro;1
Hotel;1
Guararapes;1
sintar;1
cheiro;1
desinfetante;1
dezesseis;1
inesquecível;1
Instituto;1
clínica;1
nuclear;1
teste;1
tipo;1
enviar;1
Estados;1
Unidos;1
retornei;1
trinta;1
resultado;1
realmente;1
alta;1
alto;1
marcante;1
Médico;1
preocupação;1
exclusivamente;1
família;1
carro;1
Entendi;1
tecnologia;1
transporte;1
avanço;1
caráter;1
sensivelmente;1
Respeito;1
Valores;1
trabalhar;1
relação;1
pessoal;1
imagem;1
confiável;1
frase;1
esqueci;1
presença;1
descartar;1
toa;1
seja;1
pautar;1
melhor;1
ager;1
posicionar;1
criação;1
avós;1
infinitamente;1
dúvida;1
absoluto;1
personalidade;1
lapidar;1
ruim;1
Ok;1
principal;1
ideal;1
crítica;1
crítico;1
comportamento;1
nisso;1
ah;1
fulano;1
assar;1
má;1
piorar;1
disciplina;1
regime;1
castigo;1
cobrança;1
frouxa;1
punição;1
frouxo;1
associar;1
Fernando;1
irmão;1
vejor;1
facilidade;1
decorar;1
episódio;1
chamar;1
elefante;1
vovó;1
solidário;1
humano;1
empatia;1
precisar;1
olho;1
apurar;1
consiger;1
conseguir;1
cheguar;1
Continua;1
cheio;1
d'água;1
Colocam;1
água;1
vazar;1
aparar;1
peneira;1
buraco;1
estrutural;1
consequência;1
tratar;1
fonte;1
dedo;1
ferida;1
educa;1
começo;1
prioridade;1
deuse;1
rei;1
comida;1
cadeira;1
lençol;1
errado;1
terra;1
antigamente;1
exagero;1
prefiro;1
Diga;1
surpresa;1
detalhe;1
consigo;1
pontuar;1
acolá;1
quiser;1
aconselhar;1
tragédia;1
anunciar;1
passo;1
sea;1
avô;1
alguém;1
puder;1
capacidade;1
consciência;1
decisão;1
consiga;1
vivenciar;1
constante;1
aprenda;1
minimamente;1
medo;1
valer;1
pena;1
corram;1
arrisquar;1
afetar;1
cem;1
porcento;1
gastar;1
esforço;1
fresta;1
aberto;1
esperar;1
sigo;1
sigar;1
oportunidade;1
frente;1
