Frase;Sentimento;Confiança
"Eco das Raízes 

Bom dia, posso gravar a nossa entrevista?";5 stars;2813
Com certeza.;4 stars;2779
"Ok. 

Eu queria saber, como era a relação com seus pais, meus avós, quando você era criança?";3 stars;5711
Não era uma relação muito próxima, porque a educação antiga não era assim, como é hoje, que os pais são próximos.;2 stars;4912
Hoje, em dia, a educação, os filhos é quem mandma nos pais, os pais não têm autoridade.;2 stars;3194
Mas meus pais, onde a gente ia, nós íamos todos, eram seis filhos, e todo mundo se comportava, a gente nunca teve problema de quebrar coisas, de ficar uma desordem, de ficar correndo pelos lugares, de ir quebrando coisas.;5 stars;2654
Eram seis e todo mundo se comportava, todo mundo entrava no restaurante, todo mundo ficava ordeiro, e, nesse ponto, eu acho que era positivo, porque havia respeito e havia ordem e educação.;5 stars;5033
Mas meu pai criou a gente com muita rigidez, a educação era muita rigidez, principalmente para mim, que fui a primeira.;3 stars;4731
Os três últimos já foram mais suaves, mas a minha educação, em relação a mim, foi sempre muito rígida.;3 stars;5495
E é tanto que eu, muitas das minhas posições, das minhas atitudes, em decorrência desse tipo de educação que eu tive.;5 stars;5413
Podemos dizer, então, que era uma relação boa, mas tinha a questão da autoridade?;3 stars;3698
A autoridade era uma coisa muito forte, muito evidente.;3 stars;2541
Ok. Tem alguma lembrança da sua infância que te marcou muito?;3 stars;5481
Tem várias, em relação a quê?;3 stars;384
Dependendo do tipo de situação, tem algumas.;3 stars;5739
Alguma coisa que tenha marcado, em algum momento, uma lembrança?;3 stars;2979
Um presente que ele deu, que eles deram em algum momento, alguma viagem, alguma coisa assim.;5 stars;4184
Tem várias coisas.;3 stars;3912
Teve uma viagem que eu fiz com meu pai, que eu fiz com ele e a minha irmã, que a gente fez sozinha, que a gente foi ao médico.;5 stars;3908
A gente morava em Penedo e a gente foi de ônibus, porque eu estava crescendo muito.;2 stars;3345
Eu cresci doze centímetros em um ano.;1 star;3691
E aí meu pai ficou muito preocupado.;2 stars;2663
Eu só tinha doze anos.;2 stars;3357
E a gente foi de ônibus.;1 star;4288
Foi um dia, um fim de semana assim, que isso aí nunca aconteceu, nunca tinha acontecido.;1 star;7486
Minha mãe não podia ir, porque tinha outros quatro para tomar conta, então foi eu, meu pai e minha outra irmã, a segunda depois de mim.;5 stars;3589
E a gente ficou no hotel, eu me lembro demais, a gente ficou no hotel no centro de Recife, no Hotel Guararapes.;1 star;3029
Até hoje eu sinto o cheiro do desinfetante do hotel.;5 stars;2894
Eu tinha dezesseis, não, eu tinha doze anos, na época tinha doze anos.;1 star;3475
Eu tinha doze anos e eu já tinha um metro e setenta, eu tinha um metro e setenta, um metro e setenta e um, por aí, com doze anos.;1 star;3301
Por conta disso, meu pai ficou preocupado.;3 stars;4016
Mas foi uma viagem inesquecível, porque eu fui [para Recife], fui para o médico.;1 star;5179
Era um médico lá no Instituto, uma clínica de medicina nuclear.;3 stars;2372
E eu fiz vários testes de vários tipos.;5 stars;4112
Eu fiz exercício para tirar o exercício em repouso, sem ser em repouso, o exame de sangue.;4 stars;3167
Esses exames de sangue foram enviados para os Estados Unidos.;1 star;4225
Eu retornei [a Recife] trinta dias depois para ver o resultado.;1 star;4118
E o médico disse que eu ainda ia crescer mais, ia crescer de seis a oito centímetros.;2 stars;3995
Realmente, eu cresci, eu tenho um metro e setenta e oito.;5 stars;5953
Mas, eu com treze anos, eu já tinha um metro e setenta e oito.;2 stars;3568
Eu era a mais alta do colégio.;2 stars;2527
No sexto ano, eu já era a mais alta do meu colégio.;5 stars;2644
Mas essa memória foi marcante, porque foi um momento de filha única, da senhora com o vovô, ou foi por causa dos exames?;3 stars;4147
Foi tudo.;5 stars;4933
Foi a única vez que eu viajei com o meu pai.;5 stars;2821
Já viajei depois, já adulta.;3 stars;2561
Mas foi a única vez que isso aconteceu.;3 stars;3244
Foi uma coisa que, para mim, foi uma coisa que me levou [para o Médico] por causa de uma preocupação que ele teve comigo.;3 stars;2706
E foi uma coisa totalmente diferente.;2 stars;3193
Foi uma cidade que, eu nunca tinha ido para Recife.;5 stars;4949
Eu não me lembro de ter ido para Recife.;1 star;3452
Fui exclusivamente para ir para o médico.;1 star;541
E depois a gente foi, mas já foi a família toda.;5 stars;2506
Fomos, ficamos em outro hotel e foi outra viagem, a gente foi de carro.;1 star;6633
Mas, dessa vez, a gente foi de ônibus.;2 stars;3508
Fomos e voltamos de ônibus.;5 stars;3369
Entendi.;5 stars;404
